"","Rk","Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS"
"1","1","Precious Achiuwa","C","23","TOR","8","0","178","24","63",".381","4","21",".190","20","42",".476",".413","19","23",".826","13","49","62","10","1","3","10","12","71"
"2","2","Steven Adams","C","29","MEM","8","8","215","22","38",".579","0","0","","22","38",".579",".579","6","21",".286","31","50","81","19","5","12","17","20","50"
"3","3","Bam Adebayo","C","25","MIA","9","9","315","63","117",".538","0","2",".000","63","115",".548",".538","35","41",".854","20","54","74","31","11","9","31","32","161"
"4","4","Ochai Agbaji","SG","22","UTA","4","0","59","8","19",".421","0","6",".000","8","13",".615",".421","4","7",".571","4","4","8","1","0","0","0","5","20"
"5","5","Santi Aldama","PF","22","MEM","8","8","235","29","66",".439","8","28",".286","21","38",".553",".500","13","19",".684","17","33","50","7","5","10","5","23","79"
"6","6","Nickeil Alexander-Walker","SG","24","UTA","5","0","39","7","16",".438","3","9",".333","4","7",".571",".531","3","4",".750","0","3","3","9","4","2","2","6","20"
"7","7","Grayson Allen","SG","27","MIL","7","7","182","18","54",".333","11","35",".314","7","19",".368",".435","14","16",".875","4","18","22","18","5","0","9","9","61"
"8","8","Jarrett Allen","C","24","CLE","7","7","231","36","66",".545","0","2",".000","36","64",".563",".545","14","19",".737","30","54","84","9","1","8","9","15","86"
"9","9","Jose Alvarado","PG","24","NOP","7","2","146","24","49",".490","11","26",".423","13","23",".565",".602","3","4",".750","1","13","14","19","6","1","11","11","62"
"10","10","Kyle Anderson","PF","29","MIN","4","0","49","1","3",".333","0","1",".000","1","2",".500",".333","5","6",".833","3","8","11","5","1","1","2","3","7"
"11","11","Giannis Antetokounmpo","PF","28","MIL","7","7","234","87","153",".569","6","25",".240","81","128",".633",".588","55","83",".663","16","73","89","35","8","12","21","20","235"
"12","12","Thanasis Antetokounmpo","SF","30","MIL","2","0","6","0","0","","0","0","","0","0","","","0","0","","0","1","1","0","0","0","0","0","0"
"13","13","Cole Anthony","PG","22","ORL","4","3","122","22","53",".415","7","20",".350","15","33",".455",".481","11","15",".733","3","16","19","17","3","3","8","14","62"
